"","OBJECTID","n_export","precip_variability","population","depth_to_groundwater","cattle","average_flow","percent_no_sanitation","clay_percent","flash_flow","sand_percent","pigs","proportion_urban"
"1",1,2035.05126953125,96.8162094869233,92.8472366333008,281,1104.33734568171,0.246730774641037,8.91655731201172,25,0.191475391387939,49,5.63479218235011,0
"2",2,264213.25,88.9941906948976,563039.8125,3,15236.6946509075,95.0671920776367,64.2270202636719,36,0.2436603307724,23,220.620449178836,0.790000021457672
"3",3,111727.234375,88.1504083743696,101507.453125,9,12816.9927417096,0.883153855800629,64.2270202636719,29,0.235563263297081,27,0.999261143990038,0
"4",4,98497.453125,84.9116197596042,431379.25,13,0,0.876653850078583,64.2270202636719,31,0.24591101706028,33,0,1
"5",5,7957.5322265625,15.5287074081603,25526.83984375,255,86.4624607929238,0,0.373447775840759,16,NA,48,2.10846184742136,0.979591846466064
"6",6,13812.8330078125,91.0513699256023,1665.04992675781,758,102.75682536061,11.90553855896,3.99889707565308,21,0.425594180822372,54,0.744936378718221,0.0199999995529652
"7",7,2.25775909423828,26.6469355010596,2552.42065429688,370,1413.30923232432,0.00023076924844645,6.8978099822998,18,-0.0335195548832417,59,2.66541381650739,0.550000011920929
"8",8,8143.27880859375,80.9143692979093,328135.96875,554,665.34951698776,0,0.0966705307364464,23,NA,43,2662.19841827531,0.955555558204651
"9",9,73672.8671875,28.7070798159819,101104.9609375,223,1492.10001539813,0.64307689666748,0.878557801246643,22,0.387773066759109,28,155.080178184428,0.899999976158142
"10",10,27886.212890625,23.7324785820276,7272.9921875,7,0,0.641153812408447,1.98082733154297,21,0.2920922935009,49,0,0
"11",11,22672.318359375,67.5157972442506,8730.6572265625,3,0,0,44.7603530883789,41,NA,25,0,0.5
"12",12,8986.8486328125,67.5157972442506,8730.6572265625,3,0,0,44.7603530883789,41,NA,25,0,0.5
"13",13,18958.46484375,47.0168711998477,843116.375,80,2730.36588004124,80.9063491821289,44.7603530883789,38,0.59355753660202,36,557.34448484,1
"14",14,179791.671875,60.744581724683,82539.6171875,54,6299.19747952954,123.281692504883,44.7603530883789,34,0.418991833925247,38,337.669847621436,0.0299999993294477
"15",15,172156.828125,66.4845021688684,230252.5625,24,2665.62063238538,56.0131530761719,44.7603530883789,32,0.410478144884109,40,37.7540176271887,0.980000019073486
"16",16,96672.25,90.300823718011,236141.5625,14,5534.16240454153,219.508697509766,44.7603530883789,38,0.439715713262558,33,567.927334579098,0.990000009536743
"17",17,137206.03125,151.492633757541,618657.5,31,0,0.312076926231384,64.8115615844727,30,0.112371377646923,44,0,0.879999995231628
"18",18,71406.234375,153.164966193276,9654.3916015625,178,4318.32328048752,0.576384603977203,64.8115615844727,37,0.124236270785332,35,37.0222221662935,0
