"","OBJECTID","source","noxn"
"1",452,"Gu",1
"2",1,"GEMStat",0.052
"3",1,"GEMStat",0.02
"4",1,"GEMStat",0.07
"5",1,"GEMStat",0.03
"6",1,"GEMStat",0.03
"7",1,"GEMStat",0.5075
"8",439,"Gu",0.1
"9",1752,"USGS",2
"10",10,"GEMStat",0
"11",10,"GEMStat",0
"12",10,"GEMStat",0
"13",10,"GEMStat",0
"14",10,"GEMStat",0
"15",10,"GEMStat",0
"16",10,"GEMStat",0
"17",655,"Gu",6.4
"18",1759,"USGS",8
"19",481,"Gu",7.9
"20",768,"Ouedraogo",8.05
"21",1658,"USGS",17
"22",883,"USGS",0
"23",884,"USGS",0
"24",885,"USGS",0
"25",291,"Gu",12.4
"26",1659,"USGS",12
"27",287,"Gu",38.6
"28",1660,"USGS",4
"29",288,"Gu",38.6
"30",1661,"USGS",7
"31",295,"Gu",37.5
"32",1662,"USGS",14
"33",286,"Gu",90.3
"34",773,"Ouedraogo",4.7242
"35",1663,"USGS",12
"36",296,"Gu",37.5
"37",774,"Ouedraogo",27.4091
"38",1664,"USGS",8
"39",86,"Gu",0.2
"40",775,"Ouedraogo",10.11954
"41",1665,"USGS",1
"42",298,"Gu",27.2
"43",1666,"USGS",3
"44",297,"Gu",27.2
"45",1667,"USGS",8
"46",11,"GEMStat",0.004
"47",648,"Gu",0.5
"48",679,"Ouedraogo",18.860368
"49",1760,"USGS",5
"50",289,"Gu",90.3
"51",778,"Ouedraogo",10.12
"52",1668,"USGS",5
"53",300,"Gu",27.3
"54",779,"Ouedraogo",9.89
"55",1669,"USGS",5
"56",301,"Gu",27.3
"57",1670,"USGS",42
"58",619,"Gu",2.8
"59",1671,"USGS",20
"60",87,"Gu",0
"61",1672,"USGS",9
"62",88,"Gu",0.2
"63",783,"Ouedraogo",1.127
"64",1673,"USGS",3
"65",624,"Gu",19.7
"66",784,"Ouedraogo",1.288
"67",1674,"USGS",0
"68",302,"Gu",2.9
"69",1675,"USGS",35
"70",309,"Gu",0
"71",1676,"USGS",30
"72",310,"Gu",0
"73",787,"Ouedraogo",0.0391
"74",1677,"USGS",9
"75",12,"GEMStat",0.004
"76",649,"Gu",22
"77",680,"Ouedraogo",3.151
"78",1761,"USGS",4
"79",630,"Gu",7.6
"80",788,"Ouedraogo",2.3
"81",1678,"USGS",11
"82",612,"Gu",6.6
"83",1679,"USGS",11
"84",294,"Gu",3.8
"85",790,"Ouedraogo",19.6673
"86",1680,"USGS",26
"87",281,"Gu",4.3
"88",1681,"USGS",2
"89",280,"Gu",11.8
"90",1636,"USGS",5
"91",484,"Gu",7.4
"92",1637,"USGS",1
"93",194,"Gu",7.4
"94",1638,"USGS",2
"95",186,"Gu",6.3
"96",795,"Ouedraogo",3.0521
"97",1639,"USGS",10
"98",120,"Gu",18.1
"99",796,"Ouedraogo",5.3222
"100",1640,"USGS",10
"101",188,"Gu",7.2
"102",1641,"USGS",1
"103",13,"GEMStat",1.044
"104",13,"GEMStat",0.295
"105",13,"GEMStat",0.01
"106",557,"Gu",2.6
"107",681,"Ouedraogo",6.41286
"108",1762,"USGS",3
"109",187,"Gu",13.7
"110",1642,"USGS",13
"111",282,"Gu",9.3
"112",1643,"USGS",21
"113",185,"Gu",11.3
"114",800,"Ouedraogo",3.312
"115",1644,"USGS",10
"116",95,"Gu",12.6
"117",1646,"USGS",3
"118",96,"Gu",0.3
"119",1647,"USGS",10
"120",97,"Gu",0.8
"121",1648,"USGS",7
"122",94,"Gu",0.4
"123",1649,"USGS",1
"124",98,"Gu",13.5
"125",1650,"USGS",4
"126",101,"Gu",16.2
"127",806,"Ouedraogo",4.2274
"128",1651,"USGS",3
"129",111,"Gu",11.9
"130",807,"Ouedraogo",0.1219
"131",1652,"USGS",9
"132",14,"GEMStat",0.055
"133",14,"GEMStat",1.3
"134",14,"GEMStat",0.035
"135",555,"Gu",2.7
